"label","location","homepage","lat","long","endowment","lat_long"
"Mahadevananda Mahavidyalaya",,"http://www.mmbkp.in",22.7739,88.3362,,
"Mahalakshmi Engineering College",,"http://www.mahalakshmiengineeringcollege.com",10.89,78.6372,,
"Mahamaya Rajkiya Allopathic Medical College",,"http://mramc.in",26.5086,82.6141,,
"Mahanakorn University of Technology",,"http://www.mut.ac.th/",13.8441,100.856,,
"Mahapanya Vidayalai",,"http://www.mahapanya.ac.th",7.0046,100.491,,
"Maharaja's College, Ernakulam",,"https://www.maharajas.ac.in",9.971,76.281,,
"Maharaja's College, Mysore",,"https://web.archive.org/web/20151222122249/http:/www.mcm.ac.in/",12.3053,76.6408,,
"Maharaja Agrasen College",,"http://mac.du.ac.in/",28.6032,77.3219,,
"Maharaja Agrasen Institute of Technology",,"http://www.mait.ac.in/",28.7224,77.066,,
"Maharaja Agrasen University",,"http://www.mau.ac.in",30.8775,76.8767,,
"Maharaja Bir Bikram College",,"https://web.archive.org/web/20120111092929/http:/mbbcollege.nic.in/",23.8277,91.2977,,
"Maharaja Bir Bikram University",,"http://mbbuniversity.ac.in",23.8278,91.2974,,
"Maharaja Manindra Chandra College",,"http://www.mmccollege.co.in/",22.6013,88.3701,,
"Maharaja Nandakumar Mahavidyalaya",,"http://maharajanandakumarmahavidyalaya.org/",22.1704,87.9071,,
"Maharaja Sayajirao University of Baroda",,"http://www.msubaroda.ac.in",22.3099,73.186,,
"Maharaja Sris Chandra College",,"http://www.msccollege.org/mschome.php",22.6013,88.3701,,
"Maharajadhiraj Uday Chand Women's College",,"http://www.mucwcburdwan.org/",23.2391,87.8515,,
"Maharana Institute of Professional Studies",,"http://www.mpgi.in",26.467,80.35,,
"Maharana Pratap Sports College",,"http://www.mpscollege.in",30.303,78.1044,,
"Maharani Kasiswari College",,"http://www.mkc.ac.in/",22.6013,88.3701,,
"Maharani Laxmi Bai Govt. College of Excellence",,"https://mlbcollegegwalior.org",26.1971,78.1636,,
"Maharani Laxmi Bai Medical College",,"http://www.mlbmcj.in",25.459,78.6159,,
"Maharashtra College of Arts Science and Commerce",,"https://maharashtracollege.org",18.9679,72.8267,,
"Maharashtra College of Engineering Nilanga",,"http://www.mce-nilanga.com/",18.53,73.85,,
"Maharishi Markandeshwar Institute of Medical Sciences and Research",,"http://mmimsr.mmumullana.org/",30.2508,77.0451,,
"Maharishi Markandeshwar University, Mullana",,"http://www.mmumullana.org",30.2508,77.0451,,
"Maharishi Sandipani Rashtriya Ved Vidya Pratishthan",,"http://msrvvp.ac.in",23.132,75.7372,,
"Maharshi Dayanand University",,"http://www.mdu.ac.in/",28.9,76.57,,
"Mahasarakham University",,"https://inter.msu.ac.th/",16.1994,103.284,,
"Mahatma Gandhi College, Purulia",,"https://mahatmagandhicollegelalpur.ac.in/",23.3068,86.6247,,
"Mahatma Gandhi Institute of Medical Sciences",,"http://www.mgims.ac.in/",20.7394,78.6607,,
"Mahatma Gandhi Medical College & Research Institute",,"http://www.mgmcri.ac.in",11.8121,79.7781,,
"Mahatma Gandhi Memorial College",,"http://mgmudupi.ac.in",13.3466,74.7665,,
"Mahatma Gandhi Memorial Medical College, Jamshedpur",,"http://mgmmedicalcollege.org",22.8116,86.2107,,
"Mahatma Gandhi University, Nalgonda",,"http://www.mguniversity.ac.in",17.05,79.27,,
"Mahatma Jyotiba Phule Rohilkhand University",,"http://www.mjpru.ac.in",28.3661,79.4572,,
"Mahatma Phule Krishi Vidyapeeth",,"http://www.mpkv.ac.in",19.3491,74.6461,,
"Mahavir Institute of Engineering and Technology",,"http://www.miet.edu.in/",20.2278,85.6707,,
"Mahendra Engineering College",,"http://www.mahendra.info",11.4778,77.9997,,
"Mahendra Multiple Campus, Dharan",,"http://mmcdharan.edu.np/wp/",26.814,87.2822,,
"Mahesh Bhattacharya Homoeopathic Medical College and Hospital",,"http://mbhmch.org/index.html",22.5863,88.3091,,
"Maheshtala College",,"http://www.maheshtalacollege.org/",22.5002,88.2354,,
"Maheshwara Engineering College",,"http://www.mecp.net.in/",17.5622,78.2028,,
"Maheshwara Institute Of Technology",,"http://www.mith.ac.in/",17.5625,78.2021,,
"Maheshwara Medical College and Hospital",,"http://www.maheshwaramedical.com./",17.5631,78.1961,,
"Mahidol University",,"http://www.mahidol.ac.th",13.7934,100.323,,
"Mahila College, Khagaul",,"https://www.mahilacollegekhagaul.com/",25.5842,85.0469,,
"Mahila Maha Vidyalaya",,"http://www.bhu.ac.in/mmv/",25.2756,83.0011,,
"Mahindra University École Centrale School of Engineering",,"https://twitter.com/studyatmec",17.5711,78.4361,,
"Mahindra University École Centrale School of Engineering",,"http://www.mahindraecolecentrale.edu.in",17.5711,78.4361,,
"Mahindra University École Centrale School of Engineering",,"https://www.facebook.com/studyatmec",17.5711,78.4361,,
"Mahishadal Girls College",,"http://www.mahishadalgirlscollege.in/",22.1918,87.9924,,
"Mahishadal Raj College",,"http://www.mahishadalrajcollege.com/",22.1865,87.9816,,
"Mahitosh Nandy Mahavidyalaya",,"http://mahitoshnandymv.com/",22.7487,88.0604,,
"Mailam Engineering College",,"http://www.mailamengg.com/",12.1167,79.6153,,
"Maimonides Schools for Jewish Studies",,"http://www.maimonidescollege.ca",43.2507,-79.9201,,
"Main campus of the Georgia Institute of Technology",,"http://www.housing.gatech.edu/assignments/undergraduate_reshalls_detail.cfm%3FBldgID=015",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/graduate-living-center",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/armstrong",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/brown",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/caldwell",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/center-street-north",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/center-street-south",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/cloudman",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/crecine",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/eighth-street-east",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/eighth-street-south",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/eighth-street-west",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/field",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/fitten",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/folk",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/freeman",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/fulmer",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/glenn",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/goldin-house",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/gray-house",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/hanson",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/harris",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/harrison",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/hayes-house",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/hefner",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/hopkins",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/howell",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/matheson",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/maulding",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/montag",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/nelson-shell",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/north-avenue-east",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/north-avenue-north",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/north-avenue-south",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/north-avenue-west",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/perry",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/smith",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/stein-house",33.7764,-84.3972,,
"Main campus of the Georgia Institute of Technology",,"https://housing.gatech.edu/building/tenth-and-home-bldg-a",33.7764,-84.3972,,
